"id","numContributors","numCommits","numClasses","BRAIN_CLASS","DATA_CLASS","GOD_CLASS"
"6116af81ff0b2031e407124b","2","217","29","0","0","0"
"6116af85ff0b2031e407132a","1","292","21","0","0","0"
"6116b40fff0b202190c4095d","2","214","12","0","0","0"
"6116b413ff0b202190c40a36","1","182","12","1","0","0"
"6116b7b3ff0b2021b42a54cd","2","162","91","0","0","0"
"6116b7b7ff0b2021b42a5571","2","150","27","1","0","1"
"6116b8d0ff0b201420c4240d","1","154","7","0","0","0"
"6116b8d2ff0b201420c424af","2","159","71","0","0","1"
"6116b9f2ff0b201994d04133","2","173","16","2","0","0"
"6116b9f4ff0b201994d041f8","2","166","12","0","0","0"
"6116bad1ff0b202ce0fcd199","1","244","110","0","0","0"
"6116bad4ff0b202ce0fcd28f","2","154","36","0","0","1"
"6116bbb2ff0b201d242978b3","1","191","23","0","1","0"
"6116bbb6ff0b201d2429797c","2","238","17","0","0","1"
"6116bd4bff0b202d6c78ffa2","1","243","34","0","0","0"
"6116bd4fff0b202d6c790097","2","263","24","1","0","2"
"6116c147ff0b201700c585d5","1","213","21","0","3","0"
"6116c14dff0b201700c586c5","1","176","19","0","1","2"
"6116c5f7ff0b203b7cfaa825","2","279","54","0","0","0"
"6116c5fdff0b203b7cfaa95a","2","187","42","0","0","1"
"6116c731ff0b201e082d60ad","2","176","33","0","0","0"
"6116c754ff0b201e082d615f","2","182","14","0","0","0"
"6116d18fff0b202c7825ab88","1","164","11","0","1","0"
"6117f05dff0b203608f1557c","1","258","3","0","0","0"
"61185e5cff0b2046d43ff0ca","7","164","8","0","0","0"
"611ae186ff0b204384e62adc","8","216","8","0","0","0"
"611bc025ff0b20495847861f","1","11","4","0","0","0"
"611bc9f5ff0b203ecc695e38","2","9","7","0","0","0"
"611bcaf5ff0b202c7085e3cd","1","10","6","0","0","0"
"611fc7c212f9e0375c0bea60","2","19","1","0","0","0"
"611fc8c312f9e00834e6ed68","2","23","13","0","0","2"
"611fc8c512f9e00834e6ed81","2","22","12","0","2","0"
"611fce3812f9e034f8fa1e08","1","13","6","1","0","0"
"611fcf6912f9e035986bf9ec","2","11","19","0","0","0"
"611fd2c912f9e03138e24d2a","2","13","8","0","0","0"
"611fd2cb12f9e03138e24d3a","2","16","45","0","3","0"
"611fd5ea12f9e02520ada166","1","7","2","0","0","0"
"6128172312f9e02b101001b6","1","9","147","0","0","1"
"61282c0012f9e03cc06f8edd","2","15","374","3","52","0"
"617563f1359b71313853a383","8","17","206","0","19","3"
"6171d94bb3e43818848dd95d","8","25","14","0","1","0"
"6171d9e0b3e43827949d8605","8","13","12","0","0","0"
"6171d9e0b3e43827949d8614","9","21","6","0","0","0"
"6171db18b3e438426c120c14","10","20","1","0","0","0"
"6171db19b3e438426c120c2a","11","25","1","0","0","0"
"6171db80b3e4383954bf8ba8","9","25","4","0","0","3"
"6171db81b3e4383954bf8bc7","7","25","13","1","0","0"
"6171e443b3e43823941972f9","7","18","8","0","0","0"
"6171e447b3e438239419730d","10","14","39","0","0","0"
"6171e487b3e4383fe4bbaf3a","7","25","133","0","18","1"
"6171e48fb3e4383fe4bbaf56","7","21","43","0","25","0"
"61745e96b3e43817084b4da4","7","22","17","0","0","0"
